Telegram,Facebook,Twitter,Instagram,Youtube,Social Media Platforms,Goldcoders license check,Payment Processors,Contact Number,Lifetime In Days,Censored,HYIP Name,Perfect Money,Payeer,Bitcoin,Ethereum,Litecoin,UK-Address
0,0,0,0,0,0,0,6,0,182,0,perfectus.biz,0,1,1,1,1,0
0,0,0,0,0,0,0,1,0,1,0,Bitxz.net,0,0,1,0,0,0
1,1,1,0,0,3,1,2,1,5,0,bityoung.net,1,1,0,0,0,0
0,0,0,0,0,0,1,8,0,13,0,gotfinance.biz,1,1,1,1,1,0
1,0,0,0,1,2,1,6,0,129,1,dermundo.biz,1,0,1,1,1,0
0,0,0,0,0,0,0,1,1,14,0,kingtradebank.com,1,0,0,0,0,0
1,1,1,0,0,3,1,6,0,62,0,kirklandfelt.com,1,1,1,1,1,1
1,1,0,0,0,2,1,8,1,216,0,crypto-star.biz,1,1,1,1,1,1
0,0,0,0,0,0,0,5,0,35,0,cryptosbots.com,0,0,1,1,1,0
1,1,0,0,1,3,1,9,1,42,0,bitekholding.com,1,1,1,1,1,1
1,0,0,0,0,1,0,5,0,22,0,neroos.com,1,1,1,1,1,1
1,0,1,0,0,2,0,3,0,63,0,Etherconnect.co,0,0,1,1,0,0
0,0,0,0,0,0,0,8,0,8,0,superinterest.biz,1,1,1,1,1,0
0,0,0,0,0,0,1,8,0,94,0,coinsforce.biz,1,1,1,1,1,1
0,0,0,0,0,0,0,7,1,174,1,cryptengram.com,1,1,1,0,1,0
0,0,0,0,0,0,0,9,0,44,1,arbitplus.com,0,0,1,1,1,0
0,0,0,0,0,0,0,8,0,14,0,pipbrokers.com,1,1,1,1,1,1
1,0,1,0,1,3,1,5,1,12,0,bitoceans.io,0,1,1,1,1,1
1,1,1,0,1,4,1,6,0,43,0,Rxava.com,1,0,1,1,1,1
0,0,0,0,0,0,1,1,0,97,0,bittrex.foundation,1,0,0,0,0,0
0,0,0,0,0,0,0,4,0,9,0,netplay.zone,1,0,1,1,1,0
0,1,1,0,0,2,1,4,0,20,0,kingofprofitmaker.com,1,1,1,0,0,1
0,0,0,0,0,0,1,8,0,80,0,coinsmining.biz,1,1,1,1,1,0
1,0,1,0,1,3,1,5,0,54,0,superhour.biz,1,1,1,1,1,1
0,0,0,0,0,0,0,10,0,45,0,defihold.io,1,1,1,1,1,0
0,0,0,0,0,0,0,8,1,15,0,attonbank.com,1,1,1,1,1,1
1,0,1,0,0,2,0,7,0,148,0,minexo.io,0,0,1,1,1,0
0,0,0,0,0,0,1,8,1,35,0,thebillionaire.io,1,1,1,1,1,1
1,0,0,0,0,1,1,5,1,355,0,toptose.com,1,0,1,1,1,1
1,0,0,0,0,1,0,6,0,1,0,nessa.ai,1,0,1,1,1,0
0,0,0,0,0,0,1,4,0,1,0,minotaur-markets.com,1,0,1,1,1,1
1,0,0,0,0,1,1,7,1,24,0,forexfly.net,1,1,1,1,1,1
0,0,0,0,0,0,1,6,0,26,0,cryptonode.ltd,1,1,1,1,1,1
1,0,0,0,1,2,0,2,0,77,1,doge-x.com,0,1,1,0,0,0
1,0,0,0,0,1,1,10,0,60,0,bitboom.top,1,0,1,1,1,0
0,0,0,0,0,0,0,4,0,89,0,libre.trade,1,0,1,1,1,1
0,0,0,0,0,0,0,2,0,9,0,cashstrim.com,1,1,0,0,0,1
0,0,0,0,0,0,1,7,0,49,1,digibot.biz,1,0,1,1,1,1
1,0,1,0,0,2,1,6,1,79,0,monderson.com,1,0,1,1,0,0
0,0,0,0,0,0,1,6,0,19,0,mastery-finance.com,1,0,1,1,1,1
1,1,0,1,1,4,1,5,0,52,0,mininginvestgroup.com,1,0,1,1,1,1
1,1,0,1,1,4,1,7,0,124,0,axtrader.com,1,0,1,1,1,1
1,0,0,0,0,1,1,11,0,213,0,StarsMining.net,1,1,1,1,1,1
1,0,0,0,0,1,0,2,0,18,0,batcash.biz,1,1,0,0,0,0
1,0,1,0,0,2,0,4,0,10,0,oxyma.net,1,0,1,1,1,1
0,0,0,0,0,0,1,1,0,107,0,cryptongo.cc,1,0,0,0,0,1
0,0,0,0,0,0,1,5,0,182,1,altirinvestments.com,1,0,1,1,1,1
1,0,0,0,0,1,0,1,0,72,0,vivat.vc,0,0,1,0,0,1
1,1,1,0,1,4,0,6,0,95,0,Cointerra.io,0,0,1,1,1,0
0,1,1,1,0,3,0,5,1,132,0,levelens.com,1,1,1,1,0,1
0,0,0,0,0,0,1,6,0,17,0,transaxios.com,1,1,1,1,1,0
0,0,0,0,0,0,0,5,0,84,0,betacentaury.com,1,1,1,1,1,0
0,0,0,0,0,0,1,7,1,52,0,Crypto-capital.biz,1,0,1,1,1,1
1,0,0,0,0,1,1,2,0,20,0,kt-global.net,1,0,1,0,0,1
0,0,0,0,0,0,1,2,0,29,0,wqinvestment.com,1,0,1,0,0,1
1,0,1,1,0,3,1,5,0,213,1,minero.io,1,0,1,1,0,1
1,0,0,0,0,1,1,5,0,27,0,biselo.top,1,0,1,0,1,1
1,1,1,0,1,4,0,6,0,94,0,pantera.ai,1,1,1,1,1,1
1,1,1,1,1,5,0,7,1,413,0,Bitstil.com,1,1,1,1,1,1
1,0,0,0,0,1,1,3,0,392,0,yerbalife.net,1,0,1,0,0,1
1,0,0,1,1,3,1,4,0,12,0,Oceanix.cc,1,0,1,1,1,1
1,0,0,0,0,1,0,5,1,38,0,forexomo.com,1,0,1,1,1,1
0,0,0,0,0,0,1,6,0,12,0,hourpayinstant.biz,1,0,1,1,1,1
0,0,0,0,0,0,1,2,0,13,0,aurum-finance.ltd,1,0,1,0,0,0
0,0,0,0,0,0,1,1,0,250,1,legend777.net,1,0,0,0,0,0
0,0,0,0,0,0,1,5,0,167,0,bitoise.com,1,0,1,1,1,1
1,0,0,0,0,1,0,3,0,16,0,travelest.biz,1,1,1,0,0,0
0,0,0,0,0,0,1,1,0,3,0,Veloxy.Top,1,0,0,0,0,1
1,1,0,0,1,3,0,6,0,66,0,spiritelectro.com,1,0,1,1,1,1
1,1,0,0,0,2,1,7,0,143,0,mycryptoprofits.io,1,1,1,1,1,1
1,1,0,0,0,2,1,1,1,7,0,infernotrades.com,1,0,0,0,0,1
1,0,0,0,1,2,0,7,0,774,0,opefund.com,1,1,1,1,1,0
1,0,0,0,0,1,0,1,1,166,0,confivest.com,0,0,1,0,0,0
1,0,0,0,0,1,0,2,0,378,0,Automatic.Monster,1,1,0,0,0,0
1,0,0,0,1,2,1,6,1,2,0,goldenbitltd.com,1,0,1,1,1,1
1,0,0,0,0,1,0,5,1,39,0,Pluribusunum.cc,1,0,1,1,1,1
0,0,0,0,0,0,1,3,1,281,0,mininghouse.trade,1,0,1,1,0,1
0,0,0,0,1,1,1,5,0,129,0,cryptoroad.biz,1,1,1,1,1,1
1,1,1,1,1,5,1,3,1,377,0,Bruxis.com,0,0,1,1,1,0
1,0,0,0,0,1,1,5,0,14,0,Startos.top,1,0,1,1,1,0
1,0,0,1,0,2,1,4,0,40,0,pecodex.com,0,0,1,1,1,1
1,0,0,0,0,1,1,5,0,10,0,shopextrades.com,1,0,1,1,1,1
1,0,0,0,0,1,1,5,1,4,0,scalperion.com,1,0,1,1,1,1
1,0,0,0,0,1,1,6,1,11,0,bitsei.com,1,0,1,1,1,1
1,0,0,0,0,1,0,3,0,302,1,lucrative-shares.com,1,1,1,0,0,0
0,1,1,1,1,4,1,3,0,111,0,bionicson.com,1,1,1,0,0,0
1,0,1,1,1,4,0,5,0,23,0,arescapital.io,1,1,1,1,1,0
1,0,0,0,0,1,1,4,0,69,0,PmSavior.com,1,0,1,1,1,0
1,0,1,0,0,2,1,5,0,34,0,chargena.biz,1,0,1,1,1,1
1,1,1,0,1,4,0,5,0,62,0,Ai-Medicine.tech,1,0,1,1,1,0
0,0,0,0,0,0,1,5,0,89,0,maxsima.cc,1,1,1,1,1,1
1,0,0,0,0,1,0,5,0,300,0,diversity-investments.com,1,1,1,1,1,1
1,0,0,0,1,2,1,1,0,118,0,kvant4you.com,1,0,0,0,0,0
0,0,1,1,1,3,1,7,0,309,0,se7en.systems,1,0,1,1,1,1
1,0,0,0,0,1,1,6,1,4,0,brimor.io,1,1,1,1,1,1
0,0,0,0,0,0,0,1,0,27,0,zfinance.cc,1,0,0,0,0,0
1,0,0,0,0,1,0,3,0,11,0,mix-jewelry.biz,1,0,1,1,0,1
0,0,0,0,0,0,1,6,0,218,1,optimexfinance.com,1,1,1,1,1,1
0,1,1,0,0,2,0,5,1,211,0,Lutex.ltd,0,0,1,1,1,0
1,0,0,0,0,1,0,6,0,13,0,nexuz.biz,1,0,1,1,1,1
0,0,0,0,0,0,1,3,0,136,0,workforyou.vip,1,0,1,1,0,0
1,0,0,0,0,1,1,6,0,11,0,bomex.top,1,0,1,1,1,0
0,0,0,0,0,0,0,3,1,196,0,hoffman-graham.com,1,0,1,1,0,1
0,0,0,0,0,0,0,7,0,18,0,bankreturns.com,1,0,1,1,1,0
0,0,0,0,0,0,1,6,0,494,0,HOURRICH.COM,1,1,1,1,1,1
1,1,1,1,0,4,1,6,0,10,0,WexCapital.net,1,1,1,1,1,1
1,0,1,0,1,3,0,4,0,53,0,AssetCapital.io,0,0,1,1,0,0
1,0,0,1,0,2,0,3,0,222,0,Royalbet.biz,1,1,1,0,0,0
0,0,0,0,0,0,1,8,1,33,0,globe-profit.com,1,0,1,1,1,1
1,0,0,0,0,1,0,11,1,30,0,Topbit.biz,1,0,1,1,1,1
0,0,0,0,0,0,1,5,0,18,0,QuantiFine.cc,1,0,1,1,1,0
0,0,0,0,0,0,1,3,0,91,0,AssetPrime.biz,1,1,1,0,0,0
1,0,0,0,1,2,0,5,1,15,0,goldback.biz,1,0,1,1,1,0
1,0,0,0,0,1,1,1,0,84,0,aura-capital.biz,1,0,0,0,0,0
1,0,0,0,0,1,0,2,0,4,0,wego-trade.com,1,0,0,0,0,1
0,0,0,0,0,0,1,6,0,79,0,coinnal.com,1,1,1,1,1,1
0,0,0,0,0,0,1,1,0,39,0,euroinvest.ltd,1,0,0,0,0,0
1,0,0,0,0,1,1,6,0,119,0,imm.finance,0,0,1,1,1,1
0,0,0,0,0,0,1,5,1,7,0,atlantican.capital,1,1,1,1,1,1
0,0,0,0,0,0,0,1,0,17,0,earnpm.com,1,0,0,0,0,1
0,0,0,0,0,0,1,4,0,10,0,virodum.com,1,0,1,1,1,1
1,0,0,0,0,1,1,6,1,16,0,dexxon.io,1,1,1,1,1,0
1,0,0,0,0,1,1,7,1,41,0,veon-finance.com,1,1,1,1,1,1
